ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
4583,1508.0,128000,360.0,1.0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0
3000,0.0,66000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1
2583,2358.0,120000,360.0,1.0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1
6000,0.0,141000,360.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
5417,4196.0,267000,360.0,1.0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1
2333,1516.0,95000,360.0,1.0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1
3036,2504.0,158000,360.0,0.0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0
4006,1526.0,168000,360.0,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
12841,10968.0,349000,360.0,1.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
3200,700.0,70000,360.0,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
3073,8106.0,200000,360.0,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
1853,2840.0,114000,360.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0
1299,1086.0,17000,120.0,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
4950,0.0,125000,360.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
3510,0.0,76000,360.0,0.0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1
4887,0.0,133000,360.0,1.0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0
7660,0.0,104000,360.0,0.0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1
5955,5625.0,315000,360.0,1.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
2600,1911.0,116000,360.0,0.0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0
9560,0.0,191000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0
2799,2253.0,122000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
4226,1040.0,110000,360.0,1.0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1
1442,0.0,35000,360.0,1.0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1
3167,0.0,74000,360.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
4692,0.0,106000,360.0,1.0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0
3500,1667.0,114000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
12500,3000.0,320000,360.0,1.0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0
3667,1459.0,144000,360.0,1.0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0
4166,7210.0,184000,360.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
3748,1668.0,110000,360.0,1.0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0
3600,0.0,80000,360.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
1800,1213.0,47000,360.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
3941,2336.0,134000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
5649,0.0,44000,360.0,1.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
5821,0.0,144000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
2645,3440.0,120000,360.0,0.0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1
4000,2275.0,144000,360.0,1.0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
1928,1644.0,100000,360.0,1.0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0
3086,0.0,120000,360.0,1.0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
4230,0.0,112000,360.0,1.0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
4616,0.0,134000,360.0,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
11500,0.0,286000,360.0,0.0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1
2708,1167.0,97000,360.0,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0
2132,1591.0,96000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
3366,2200.0,135000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0
8080,2250.0,180000,360.0,1.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
3357,2859.0,144000,360.0,1.0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1
2500,3796.0,120000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
3029,0.0,99000,360.0,1.0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1
2609,3449.0,165000,180.0,0.0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0
4166,0.0,116000,360.0,0.0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
5726,4595.0,258000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
3200,2254.0,126000,180.0,0.0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1
10750,0.0,312000,360.0,1.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
